state,x,y
Alabama,120,-80
Alaska,-204,-170
Arizona,-214,-40
Arkansas,40,-53
California,-315,13
Colorado,-132,20
Connecticut,297,83
Delaware,275,42
Florida,200,-145
Georgia,170,-75
Hawaii,-317,-143
Idaho,-216,110
Illinois,85,33
Indiana,125,39
Iowa,30,65
Kansas,-30,5
Kentucky,140,-10
Louisiana,40,-114
Maine,310,164
Maryland,280,20
Massachusetts,312,105
Michigan,135,101
Minnesota,9,135
Mississippi,74,-94
Missouri,40,2
Montana,-155,155
Nebraska,-50,55
Nevada,-265,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-148,-60
New York,236,104
North Carolina,200,-30
North Dakota,-65,150
Ohio,170,45
Oklahoma,-28,-41
Oregon,-293,138
Pennsylvania,208,62
Rhode Island,318,94
South Carolina,210,-60
South Dakota,-65,100
Tennessee,121,-34
Texas,-38,-106
Utah,-195,34
Vermont,272,140
Virginia,224,0
Washington,-280,183
West Virginia,180,20
Wisconsin,60,113
Wyoming,-144,90
